,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_RMS,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_RMS,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_RMS,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,MeanActiveJoints,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_RMS,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_RMS,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_RMS,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_ZeroCross,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_RMS,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_RMS,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,1.0,0.4600693006859474,0.45933461408515963,-0.518041362772675,0.826095398480094,0.2931187563735232,0.29306587492406905,-0.7385976345459222,-0.4145909352761146,0.3917057679278683,0.391483873608592,-0.5552341609084358,0.5030114134780276,-0.10330466853275151,-0.10342411307582391,-0.45500959846157923,-0.2839997295067149,-0.0866621208440443,-0.0867559506545614,-0.7239900190438969,0.31464325229130424,0.5027361046739146,0.01066951809816763,0.01064558889899115,-0.4723192618855111,0.13940580203284775,0.07516866224805528,0.0751877800874821,-0.599619740393623,-0.41024491870646473,0.29452399115547273,0.2942331723770938,-0.35897971055189565,0.4495355571170683,-0.02643350562204338,-0.026450323105932913,-0.5090113200911252,0.35291132688767995,0.08477253935666566,0.08477446540437066,-0.6914315404281425
Hips_LeftUpLeg_LeftLeg_Angle_RMS,0.4600693006859474,1.0,0.9999995724037299,0.16450314426604187,0.7557915097532736,0.9382378147762108,0.9382096856793317,0.034718863070574854,-0.31809031989308806,0.789016799669314,0.7886797297179851,0.21900007490261883,0.5774362960075782,0.663637463466861,0.6635663396050733,0.1926721896270608,0.1652618433989707,0.7412809064470948,0.7411851926206248,-0.3849022411065663,0.7587444019592429,0.6008016000314825,0.5387347273476937,0.5387517945404976,0.2432211605878995,0.2676915753449037,0.8197625259037281,0.8197242699031486,-0.22863222577970954,0.03781757271272204,0.5742706888425252,0.5742831684855852,0.4393883241726841,0.5329679234923501,0.5961828668656538,0.5961800660357854,0.1379161520269502,0.6317186993622133,0.7060928407522503,0.7060897552632577,-0.13326351600860253
Hips_LeftUpLeg_LeftLeg_Angle_STD,0.45933461408515963,0.9999995724037299,1.0,0.1650349831532011,0.755349693443845,0.93830341946224,0.9382752983320193,0.03538533906129051,-0.31787323880201707,0.7890782064954036,0.788741389468487,0.21961498817417963,0.5772106261350306,0.6639433588113653,0.6638723476970145,0.1930969291237193,0.1656117712127115,0.7417225978764891,0.7416269745962708,-0.3844446015398576,0.7588690522426925,0.6006470696423877,0.5389192899098337,0.5389363735877369,0.24374012476454707,0.26783354084266614,0.8200639527914112,0.8200257282679747,-0.22817933712927163,0.03814471819998042,0.574282532687852,0.5742953443993721,0.4399084603001209,0.532739104901397,0.5964380229184112,0.5964352375434386,0.13841592798774724,0.6317502905176052,0.7063082335002233,0.7063051458869005,-0.13277368571629328
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,-0.518041362772675,0.16450314426604187,0.1650349831532011,1.0,-0.1902604113808869,0.28659100270809484,0.28663150469560794,0.9078342051162538,-0.13923905893599747,0.03685657848544913,0.03687639414046989,0.8241775251885657,0.010313022040872113,0.6080752659893343,0.6081284857226368,0.7043197950669765,0.2998583893158322,0.5887800535730598,0.5888325436328297,0.567537246195943,0.23355712174639098,0.14853546759853317,0.49357685740597496,0.49357776810992243,0.7887792344943213,0.17463236853411643,0.40244060805449744,0.4023473519489675,0.5790830104485293,0.18704697515501975,-0.17133310325736167,-0.17114991012185987,0.874891795499098,-0.01938003515699443,0.39169539130236863,0.3916964693345996,0.8672373863302438,0.012478799585646166,0.3468103209664337,0.34680421985708576,0.7381276736493935
Hips_RightUpLeg_RightLeg_Angle_CV,0.826095398480094,0.7557915097532736,0.755349693443845,-0.1902604113808869,1.0,0.6525562028473862,0.6525388228728449,-0.42403298513624854,-0.2880934458639618,0.6124280403824338,0.6121488585285574,-0.18491646897808164,0.8092492455434998,0.38038398760096453,0.38027706155417146,-0.125272600723029,0.07406102279565975,0.31423018589227797,0.3141437109845112,-0.6392646331677674,0.5461560460288143,0.790907951011688,0.3980002546638362,0.39797143613633434,-0.10486248301152562,0.420410707801085,0.3519966678906526,0.35196314832612063,-0.33353614790390795,-0.04969660457930338,0.37876596991812345,0.3785921984800597,0.0724532581512893,0.5679690458812703,0.22432489447263027,0.2243054397618814,-0.16634337789538928,0.5853718994134485,0.3531484645661751,0.3531474530499166,-0.3877513745963402
Hips_RightUpLeg_RightLeg_Angle_RMS,0.2931187563735232,0.9382378147762108,0.93830341946224,0.28659100270809484,0.6525562028473862,1.0,0.9999999916655113,0.2434622204743984,-0.22500596248883098,0.750691984293778,0.7504187847192733,0.3706304613748452,0.5550912865767096,0.7625793760207122,0.7625302786525401,0.43170443035850836,0.2951961336982893,0.7732291657740612,0.7731518657760382,-0.17106430613496593,0.674691025969123,0.49590608183119633,0.5684006446537202,0.5684237792384453,0.44069408851012115,0.17306594893872645,0.8290025228466857,0.8289772389299894,-0.007740689008959634,0.11001595568313871,0.4301748877410882,0.4302189700131628,0.5694822057370675,0.5099490818390746,0.6479075362479048,0.6479042303096663,0.25970528954272176,0.587501774301702,0.7286296033986944,0.7286265259300361,0.05746485485571918
Hips_RightUpLeg_RightLeg_Angle_STD,0.29306587492406905,0.9382096856793317,0.9382752983320193,0.28663150469560794,0.6525388228728449,0.9999999916655113,1.0,0.24350924042592376,-0.22498139066907114,0.7506745830576561,0.7504013666862659,0.3706528412802774,0.5551167847803417,0.7626180764722855,0.7625689790100478,0.43175787843610547,0.29522361657139007,0.7732143674346369,0.7731370683460612,-0.17102884248626832,0.6746701604509618,0.4958975188348201,0.5684231764802666,0.5684463087138765,0.44073169751542796,0.17306675505345237,0.8289636209986286,0.8289383242719817,-0.007683867520842944,0.11007457099718017,0.43014065893219333,0.430184744560817,0.569511969706253,0.5099704092086295,0.6479243379695878,0.6479210304315798,0.25973866977552656,0.5875008473599134,0.7286397720696544,0.7286366943064272,0.057524457717488715
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,-0.7385976345459222,0.034718863070574854,0.03538533906129051,0.9078342051162538,-0.42403298513624854,0.2434622204743984,0.24350924042592376,1.0,0.05362263395303803,-0.027746218511587914,-0.027620150566737032,0.8635369367599403,-0.20080099971807416,0.5309660242112056,0.5310564490445463,0.7882885488709244,0.3697419091484239,0.555045215069882,0.5551182416690792,0.7405941167158218,0.08723621413292197,-0.15392615233583506,0.3605290913798184,0.3605567062748601,0.8303248290293569,0.0010679806989279156,0.39411969570836325,0.3940682654941989,0.6960829520207651,0.22933173024728065,-0.23969131232998744,-0.2394393962096961,0.8114272109085133,-0.14715919950160403,0.37429167239563527,0.3743011631757495,0.8343127926593991,-0.07090819090979208,0.3042699700323185,0.3042660849821049,0.8171480682335849
Hips_Spine1_Spine3_Angle_CV,-0.4145909352761146,-0.31809031989308806,-0.31787323880201707,-0.13923905893599747,-0.2880934458639618,-0.22500596248883098,-0.22498139066907114,0.05362263395303803,1.0,-0.5439399256005022,-0.5439046220071074,0.19902394777609866,-0.26090837168843767,0.004087855346333095,0.0041338157728489444,0.13985333089326363,0.7148858666732272,-0.0566881422299547,-0.05667117161553238,0.18432072950564374,-0.6495372721601501,-0.09078886319024439,0.014204184904877674,0.014205087591235304,0.1644501076502208,0.18992880230842146,-0.09542043626853022,-0.09544846026059788,0.3234534777469892,0.6456887679373567,-0.4232110803605667,-0.42307505036299686,0.018816888331540393,-0.6135948840173895,-0.53288648216201,-0.5328803253614828,0.25374995522901195,-0.31902626523654476,-0.4359159405481183,-0.43591992455972856,0.34228018690344786
Hips_Spine1_Spine3_Angle_RMS,0.3917057679278683,0.789016799669314,0.7890782064954036,0.03685657848544913,0.6124280403824338,0.750691984293778,0.7506745830576561,-0.027746218511587914,-0.5439399256005022,1.0,0.9999996435708318,-0.03752882496286878,0.599030596640752,0.5138615591499804,0.5138339188261669,0.027276180100366188,-0.08550903829198063,0.534066611581861,0.5340424504064333,-0.36181340327027267,0.8725164929679802,0.44917971184324934,0.43221605053221124,0.43222324025204856,0.05107317082168553,0.16077797769994762,0.5200852420397766,0.5201153837754801,-0.21800129689265169,-0.25622972243024894,0.5850314491866208,0.5850458431489914,0.20822770738804094,0.6675434990499182,0.6540789802453562,0.6540756791400343,-0.16775045885905907,0.6312497230208735,0.6844453197835376,0.6844490431227972,-0.3273474158403662
Hips_Spine1_Spine3_Angle_STD,0.391483873608592,0.7886797297179851,0.788741389468487,0.03687639414046989,0.6121488585285574,0.7504187847192733,0.7504013666862659,-0.027620150566737032,-0.5439046220071074,0.9999996435708318,1.0,-0.037509289778710674,0.5989376143219295,0.5137221879237448,0.5136946689295196,0.02720618124372237,-0.0855187553300332,0.5339554912736414,0.533931470492385,-0.36160562514244693,0.8724685430352209,0.4490765520208417,0.43217073718314936,0.4321779310045229,0.05101561468135327,0.16081891757874897,0.5198182372621228,0.5198484756141838,-0.2178563129805406,-0.25643988899038755,0.5848353980950101,0.5848498583258692,0.2081316030160571,0.6674080543040707,0.6539877520290649,0.6539844572652899,-0.1677845860486978,0.6311716557660926,0.6842739627845285,0.6842776938759817,-0.3273698097399009
