,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_ZeroCross,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,1.0,0.45933461408515963,-0.518041362772675,0.826095398480094,0.29306587492406905,-0.7385976345459222,-0.4145909352761146,0.391483873608592,-0.5552341609084358,0.5030114134780276,-0.10342411307582391,-0.45500959846157923,-0.2839997295067149,-0.0867559506545614,-0.7239900190438969,0.5027361046739146,0.01064558889899115,-0.4723192618855111,0.13940580203284775,0.0751877800874821,-0.599619740393623,-0.41024491870646473,0.2942331723770938,-0.35897971055189565,0.4495355571170683,-0.026450323105932913,-0.5090113200911252,0.35291132688767995,0.08477446540437066,-0.6914315404281425
Hips_LeftUpLeg_LeftLeg_Angle_STD,0.45933461408515963,1.0,0.1650349831532011,0.755349693443845,0.9382752983320193,0.03538533906129051,-0.31787323880201707,0.788741389468487,0.21961498817417963,0.5772106261350306,0.6638723476970145,0.1930969291237193,0.1656117712127115,0.7416269745962708,-0.3844446015398576,0.6006470696423877,0.5389363735877369,0.24374012476454707,0.26783354084266614,0.8200257282679747,-0.22817933712927163,0.03814471819998042,0.5742953443993721,0.4399084603001209,0.532739104901397,0.5964352375434386,0.13841592798774724,0.6317502905176052,0.7063051458869005,-0.13277368571629328
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,-0.518041362772675,0.1650349831532011,1.0,-0.1902604113808869,0.28663150469560794,0.9078342051162538,-0.13923905893599747,0.03687639414046989,0.8241775251885657,0.010313022040872113,0.6081284857226368,0.7043197950669765,0.2998583893158322,0.5888325436328297,0.567537246195943,0.14853546759853317,0.49357776810992243,0.7887792344943213,0.17463236853411643,0.4023473519489675,0.5790830104485293,0.18704697515501975,-0.17114991012185987,0.874891795499098,-0.01938003515699443,0.3916964693345996,0.8672373863302438,0.012478799585646166,0.34680421985708576,0.7381276736493935
Hips_RightUpLeg_RightLeg_Angle_CV,0.826095398480094,0.755349693443845,-0.1902604113808869,1.0,0.6525388228728449,-0.42403298513624854,-0.2880934458639618,0.6121488585285574,-0.18491646897808164,0.8092492455434998,0.38027706155417146,-0.125272600723029,0.07406102279565975,0.3141437109845112,-0.6392646331677674,0.790907951011688,0.39797143613633434,-0.10486248301152562,0.420410707801085,0.35196314832612063,-0.33353614790390795,-0.04969660457930338,0.3785921984800597,0.0724532581512893,0.5679690458812703,0.2243054397618814,-0.16634337789538928,0.5853718994134485,0.3531474530499166,-0.3877513745963402
Hips_RightUpLeg_RightLeg_Angle_STD,0.29306587492406905,0.9382752983320193,0.28663150469560794,0.6525388228728449,1.0,0.24350924042592376,-0.22498139066907114,0.7504013666862659,0.3706528412802774,0.5551167847803417,0.7625689790100478,0.43175787843610547,0.29522361657139007,0.7731370683460612,-0.17102884248626832,0.4958975188348201,0.5684463087138765,0.44073169751542796,0.17306675505345237,0.8289383242719817,-0.007683867520842944,0.11007457099718017,0.430184744560817,0.569511969706253,0.5099704092086295,0.6479210304315798,0.25973866977552656,0.5875008473599134,0.7286366943064272,0.057524457717488715
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,-0.7385976345459222,0.03538533906129051,0.9078342051162538,-0.42403298513624854,0.24350924042592376,1.0,0.05362263395303803,-0.027620150566737032,0.8635369367599403,-0.20080099971807416,0.5310564490445463,0.7882885488709244,0.3697419091484239,0.5551182416690792,0.7405941167158218,-0.15392615233583506,0.3605567062748601,0.8303248290293569,0.0010679806989279156,0.3940682654941989,0.6960829520207651,0.22933173024728065,-0.2394393962096961,0.8114272109085133,-0.14715919950160403,0.3743011631757495,0.8343127926593991,-0.07090819090979208,0.3042660849821049,0.8171480682335849
Hips_Spine1_Spine3_Angle_CV,-0.4145909352761146,-0.31787323880201707,-0.13923905893599747,-0.2880934458639618,-0.22498139066907114,0.05362263395303803,1.0,-0.5439046220071074,0.19902394777609866,-0.26090837168843767,0.0041338157728489444,0.13985333089326363,0.7148858666732272,-0.05667117161553238,0.18432072950564374,-0.09078886319024439,0.014205087591235304,0.1644501076502208,0.18992880230842146,-0.09544846026059788,0.3234534777469892,0.6456887679373567,-0.42307505036299686,0.018816888331540393,-0.6135948840173895,-0.5328803253614828,0.25374995522901195,-0.31902626523654476,-0.43591992455972856,0.34228018690344786
Hips_Spine1_Spine3_Angle_STD,0.391483873608592,0.788741389468487,0.03687639414046989,0.6121488585285574,0.7504013666862659,-0.027620150566737032,-0.5439046220071074,1.0,-0.037509289778710674,0.5989376143219295,0.5136946689295196,0.02720618124372237,-0.0855187553300332,0.533931470492385,-0.36160562514244693,0.4490765520208417,0.4321779310045229,0.05101561468135327,0.16081891757874897,0.5198484756141838,-0.2178563129805406,-0.25643988899038755,0.5848498583258692,0.2081316030160571,0.6674080543040707,0.6539844572652899,-0.1677845860486978,0.6311716557660926,0.6842776938759817,-0.3273698097399009
Hips_Spine1_Spine3_Angle_ZeroCross,-0.5552341609084358,0.21961498817417963,0.8241775251885657,-0.18491646897808164,0.3706528412802774,0.8635369367599403,0.19902394777609866,-0.037509289778710674,1.0,-0.03701306902797997,0.6108642634927445,0.7888909087701833,0.5440839737443637,0.7178510918037396,0.5110262479712564,0.10378144369389296,0.45504396787120766,0.8570937012463907,0.10721615699413406,0.5773682457688407,0.614727519322956,0.33477257124145693,-0.1438879326017238,0.9151655292516384,-0.10461762669083537,0.3637883826492689,0.8665123377050074,0.05524103253556673,0.3708363597943257,0.772757683341186
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,0.5030114134780276,0.5772106261350306,0.010313022040872113,0.8092492455434998,0.5551167847803417,-0.20080099971807416,-0.26090837168843767,0.5989376143219295,-0.03701306902797997,1.0,0.4838051683392216,-0.082909237579828,0.1105430849807178,0.2983135598290967,-0.4104741859805091,0.8022702075670038,0.43783493805987983,-0.05501872937681881,0.41485950445631814,0.171338526346329,-0.11242192269354878,0.0830639958756571,0.33738369585510664,0.20269858656858228,0.64038327123901,0.32414796381674155,-0.12237229861068422,0.571136327051622,0.3565662497425194,-0.251690866937664
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,-0.10342411307582391,0.6638723476970145,0.6081284857226368,0.38027706155417146,0.7625689790100478,0.5310564490445463,0.0041338157728489444,0.5136946689295196,0.6108642634927445,0.4838051683392216,1.0,0.6093444557154557,0.4571972358332354,0.7884961836370669,0.07551282239138922,0.6048802221658448,0.916824585386634,0.6696871695228501,0.2266745697623852,0.6021163737059981,0.30010884117176706,0.3587293217296218,0.25485705953697546,0.7552986893283438,0.2395402976663244,0.5476914745181112,0.5826107334805626,0.2248963306818337,0.5445826799755226,0.5028739258537233
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,-0.45500959846157923,0.1930969291237193,0.7043197950669765,-0.125272600723029,0.43175787843610547,0.7882885488709244,0.13985333089326363,0.02720618124372237,0.7888909087701833,-0.082909237579828,0.6093444557154557,1.0,0.4713107083657563,0.4780620178630887,0.4528647245115823,-0.019022141955088636,0.4094615743974428,0.9454259850343225,-0.13258080208455442,0.439173692379014,0.5924104726239723,0.3760672177112821,-0.14978733231321525,0.7982807305194015,-0.024492147192805503,0.43126616628425885,0.706453807370305,0.01934887705636073,0.4091351389567852,0.7527089381633969
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,-0.2839997295067149,0.1656117712127115,0.2998583893158322,0.07406102279565975,0.29522361657139007,0.3697419091484239,0.7148858666732272,-0.0855187553300332,0.5440839737443637,0.1105430849807178,0.4571972358332354,0.4713107083657563,1.0,0.4903215209925373,0.24494209707659195,0.304469157288871,0.37612222432830494,0.5857155748855005,0.5374396364182282,0.40967567219172185,0.5847462413302478,0.5009217889622652,-0.47146222977860025,0.5754632429831861,-0.32866140022155876,-0.24067504187597735,0.6000419456676902,0.046415271050176385,-0.04215885627112911,0.43980481465749127
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,-0.0867559506545614,0.7416269745962708,0.5888325436328297,0.3141437109845112,0.7731370683460612,0.5551182416690792,-0.05667117161553238,0.533931470492385,0.7178510918037396,0.2983135598290967,0.7884961836370669,0.4780620178630887,0.4903215209925373,1.0,0.15608566644819918,0.4464136605909831,0.6815535214710005,0.6302182854205562,0.3538893717665416,0.8971320441176723,0.33524250564935576,0.0676189772435139,0.17356327443826078,0.8028760945439501,0.15225018151577957,0.4660742534505411,0.6293860457891931,0.3385177430240731,0.5571169123358752,0.3853448802999307
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,-0.7239900190438969,-0.3844446015398576,0.567537246195943,-0.6392646331677674,-0.17102884248626832,0.7405941167158218,0.18432072950564374,-0.36160562514244693,0.5110262479712564,-0.4104741859805091,0.07551282239138922,0.4528647245115823,0.24494209707659195,0.15608566644819918,1.0,-0.4218680934303503,-0.015313801641687233,0.5498427526725213,-0.12959875368734003,0.03340976543784202,0.8194552195536084,0.03557334290963759,-0.521526331424797,0.38597438898472824,-0.5745838130013625,-0.16193677668384196,0.5307642315157021,-0.532908539345705,-0.3247473521649805,0.7226554530061778
RightShoulder_RightArm_RightForeArm_Angle_CV,0.5027361046739146,0.6006470696423877,0.14853546759853317,0.790907951011688,0.4958975188348201,-0.15392615233583506,-0.09078886319024439,0.4490765520208417,0.10378144369389296,0.8022702075670038,0.6048802221658448,-0.019022141955088636,0.304469157288871,0.4464136605909831,-0.4218680934303503,1.0,0.7040661356775976,0.10995022734278716,0.5688459451648723,0.29437739542589997,-0.08674499561987459,0.13528236514704411,0.23333429987421228,0.33260800785633077,0.30003218939111836,0.11777729113592046,0.15310114864164537,0.32249234711049357,0.20464888707310822,-0.07786980244701404
RightShoulder_RightArm_RightForeArm_Angle_STD,0.01064558889899115,0.5389363735877369,0.49357776810992243,0.39797143613633434,0.5684463087138765,0.3605567062748601,0.014205087591235304,0.4321779310045229,0.45504396787120766,0.43783493805987983,0.916824585386634,0.4094615743974428,0.37612222432830494,0.6815535214710005,-0.015313801641687233,0.7040661356775976,1.0,0.5094415994278917,0.29279799829008013,0.42226277123374717,0.23363382192508067,0.2208107151843941,0.18955111084078985,0.5769756547252017,0.10902412695261118,0.3371557971672256,0.520711204118752,0.04031966665629809,0.3283687745832656,0.45464003003416753
