feat_a,feat_b,r
Spine3_RightShoulder_RightArm_Angle_RMS,Spine3_RightShoulder_RightArm_Angle_STD,0.9999999998496163
Spine3_LeftShoulder_LeftArm_Angle_RMS,Spine3_LeftShoulder_LeftArm_Angle_STD,0.9999999993244881
RightShoulder_RightArm_RightForeArm_Angle_RMS,RightShoulder_RightArm_RightForeArm_Angle_STD,0.9999999928143477
Hips_RightUpLeg_RightLeg_Angle_RMS,Hips_RightUpLeg_RightLeg_Angle_STD,0.9999999916655113
LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,0.9999999854435982
LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,0.9999999810085821
RightUpLeg_RightLeg_RightFoot_Angle_RMS,RightUpLeg_RightLeg_RightFoot_Angle_STD,0.9999999398419426
Spine1_Spine3_Head_Angle_RMS,Spine1_Spine3_Head_Angle_STD,0.9999999318533771
Hips_Spine1_Spine3_Angle_RMS,Hips_Spine1_Spine3_Angle_STD,0.9999996435708318
Hips_LeftUpLeg_LeftLeg_Angle_RMS,Hips_LeftUpLeg_LeftLeg_Angle_STD,0.9999995724037299
