,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Hips_LeftUpLeg_LeftLeg_Angle_CV,-0.09950590738671924,0.2547089005752248,0.157345390130898,-0.19465557822324375,-0.04611934377233583,0.12847586072230613,0.21332494748592498,-0.385551931694515,-0.09817228069363963,-0.06745739584783049,-0.10728293763788747,0.021567107193890173,0.18438465936085957,0.13700035466766547
Hips_LeftUpLeg_LeftLeg_Angle_STD,0.16767598248676716,0.25435417018530854,0.04083633819895143,0.007443140377389326,0.028460639475949647,0.26357009655270497,-0.05138908564579941,-0.01737158437164021,-0.17026071222079375,-0.142377077773928,-0.0701103703460508,-0.0817606824141665,-0.18328376854345552,0.07924190700719605
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,0.24835053168850701,-0.09381175367865006,-0.11414394997023906,-0.16532117307390976,-0.04486597653924147,-0.24963792063869764,-0.21476390477235435,-0.16192311627859646,-0.11382574047288248,-0.06026238519970699,0.12904839250553196,-0.3135330885775918,-0.09125711178742325,-0.38509273404346467
Hips_RightUpLeg_RightLeg_Angle_CV,0.04694356971072675,0.2781162546185711,0.23809360057788087,-0.07686427164021238,-0.056089065545758585,-0.0028865728570728185,0.21327802941906426,-0.1673511923060227,-0.1881598132820617,-0.14012497192709586,-0.12848188006752875,0.19330827071921045,0.05029020034894495,-0.24447956519416122
Hips_RightUpLeg_RightLeg_Angle_STD,0.21040935883102782,0.2048005754129848,0.005466869201962517,0.024259412463258474,0.04168670126182384,0.22975055678063347,0.19963649251402488,0.08020420653600625,-0.12065920743784252,-0.1555720267177556,-0.26529573737424905,-0.24599374083036785,0.1152369041899587,-0.010944620435006195
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,0.24059830371418467,-0.15510168337088723,-0.17964579911337666,-0.06277162370164448,0.047869203964642185,-0.10673502384324832,-0.08498581721736463,0.09076228300673764,0.008999210616084106,-0.06135556020686683,-0.07757833705181949,-0.20134449366477758,0.2652456030446104,-0.059657119569691455
Hips_Spine1_Spine3_Angle_CV,0.012960439519018702,-0.18432645438371412,0.30877366200542133,0.4174278384147855,0.0939820368677338,0.15462261903341265,0.06282683985350061,0.12133455750184051,0.19208728219005852,0.1802686511363031,-0.18710801450233705,0.011446809252145383,0.19041995978831253,-0.3745791544175962
Hips_Spine1_Spine3_Angle_STD,0.1021742553433854,0.2667800700073047,-0.07413745964662984,-0.1352616959650242,-0.009929937818301893,0.08691973449610328,0.029472825885813292,0.45810163895393774,0.21408891657363804,-0.2187028936733034,0.28535008373909576,0.03227840692598302,0.13721830178712355,-0.18521841676402168
Hips_Spine1_Spine3_Angle_ZeroCross,0.26544395411748417,-0.10595166309400503,-0.05724081996828532,0.039278244579899764,0.08410962455709589,-0.012621702685083511,-0.08326162944190241,-0.14697838501247693,-0.07064070684706689,0.47834252439787683,-0.042909966804932545,0.2585058197164998,0.3214065328218999,0.18573464460862668
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,0.07623114457705502,0.23481749732571583,0.19828543025584633,-0.05428566828245621,-0.12528528682132312,-0.34192172372351354,0.21297996993930288,0.24538857155245186,-0.27070913531231555,0.332355710014437,-0.10071207223131531,-0.10735126457168377,0.004693191760105131,-0.06654270842531486
