feature,PC,abs_loading,family
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC1,0.09950590738671924,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC1,0.16767598248676716,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC1,0.24835053168850701,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC1,0.04694356971072675,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC1,0.21040935883102782,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC1,0.24059830371418467,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC1,0.012960439519018702,CV
Hips_Spine1_Spine3_Angle_STD,PC1,0.1021742553433854,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC1,0.26544395411748417,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC1,0.07623114457705502,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC1,0.2653187065743251,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC1,0.243338364502095,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC1,0.17471552348276162,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC1,0.2632098676683308,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC1,0.1032188410725206,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC1,0.11192171293480672,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC1,0.2142707380782186,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC1,0.26692522490124243,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC1,0.0795486060467164,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC1,0.2203164094717414,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC1,0.16261593103757224,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC1,0.10209495408158994,CV
Spine1_Spine3_Head_Angle_STD,PC1,0.007443987894772126,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC1,0.2909904515250699,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC1,0.03463076430570425,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC1,0.15751442972420251,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC1,0.24803583134332632,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC1,0.07603887783981617,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC1,0.16834992806241736,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC1,0.20294749661284564,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC2,0.2547089005752248,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC2,0.25435417018530854,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC2,0.09381175367865006,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC2,0.2781162546185711,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC2,0.2048005754129848,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC2,0.15510168337088723,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC2,0.18432645438371412,CV
Hips_Spine1_Spine3_Angle_STD,PC2,0.2667800700073047,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC2,0.10595166309400503,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC2,0.23481749732571583,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC2,0.08298601808022858,STD
