PC,ExplainedVar,CumulativeVar
PC1,0.3630480466673439,0.3630480466673439
PC2,0.2969223707122052,0.6599704173795491
PC3,0.11013665157047468,0.7701070689500238
PC4,0.055640823266807554,0.8257478922168313
PC5,0.04538740028801151,0.8711352925048428
PC6,0.041276683080939694,0.9124119755857825
PC7,0.026364716377163377,0.9387766919629459
PC8,0.02239481057876059,0.9611715025417065
PC9,0.013931620667887154,0.9751031232095936
PC10,0.010106777015677797,0.9852099002252713
PC11,0.0071580024233858985,0.9923679026486573
PC12,0.005619451545412486,0.9979873541940697
PC13,0.002012645805930245,0.9999999999999999
PC14,2.975820852629183e-33,0.9999999999999999
